Category,Question
who,who wrote the poem that starts `` i love your lips when they 're wet with wine and red with a warm desire '' ? 
who,who was santos-dumont ? 
who,who is rocky 's and bullwinkle 's ever-lost friend ? 
who,who is robin williams ? 
who,who thought he 'd never see a poem lovely as a tree ? 
who,who created `` the muppets '' ? 
who,who else was considered for the role of luke skywalker when george lucas was casting for star wars ? 
who,who was the king who signed the magna carta ? 
who,who is the leader of india ? 
who,who is the prophet that is most connected to the dead sea ? 
who,who wrote `` the pit and the pendulum '' ? 
who,who is the incredible hulk in reality ? 
who,who are the presidents of mexico and indonesia ? 
who,who played al jolson in the jolson story ? 
who,who played emperor palpatine in star wars ? 
unknown,"whose husbands have included conrad hilton jr. , and michael wilding ? "
who,who is king in alley oop 's home of moo ? 
who,who invented the stock ticker in 1870 ? 
who,who wrote the bible ? 
who,who is henry butler ? 
who,who made the first airplane ? 
who,who was the first black to be head coach of a major league pro sports team ? 
who,"who is john macarthur , 1767-1834 ? "
who,who is peter weir ? 
who,who held the endurance record for women pilots in 1929 ? 
who,who are woody woodpecker 's niece and nephew ? 
who,who created maudie frickett ? 
who,who was the first english circumnavigator of the globe ? 
who,who made the largest cocaine seizure in ventura county history ? 
who,who liberated 19th century sicily and naples ? 
who,who appointed the chair of the federal reserve ? 
who,who is samuel f. pickering ? 
who,who founded the modern theory of probability ? 
who,who 's the king of swing ? 
who,who won the 1968 california democratic primary ? 
who,who spoke the only word in mel brooks 's silent movie ? 
who,who was the first russian astronaut to walk in space ? 
who,who wrote ` dubliners ' ? 
who,who is malaysia 's 43rd prime minister ? 
who,who founded the first aerodynamics laboratory in 1912 ? 
who,who said `` give me liberty or give me death '' ? 
who,who invented the pull-tab opener on cans ? 
unknown,whose acceptance speech of more than 3 minutes prompted a time limit on academy award thank-yous ? 
who,who declared : `` i think i 'll go out and milk the elk '' ? 
who,who was the actor who played sam in the movie casablanca ? 
who,who makes chicken `` finger lickin '' good ? 
who,who accompanied space ghost on his missions ? 
who,who was israel 's first prime minister ? 
who,who is desmond tutu ? 
who,who was the first person to study the stars ? 
who,"who is the author of the book , `` the iron lady : a biography of margaret thatcher '' ? "
who,who did doris day mean when she said : `` i call him ernie because he 's certainly no rock '' ? 
who,who is the owner of cnn ? 
who,who markets spaghetti-o 's ? 
who,who co-starred with julie andrews in mary poppins ? 
who,who was ezra taft benson ? 
who,who is pia zadora 's millionaire husband and mentor ? 
who,who was the first american world chess champion ? 
who,who was the last woman executed in england ? 
who,who is prince naseem hamed ? 
who,who made the first airplane that could fly ? 
who,who was international olympic committee chairman at the 1936 summer games ? 
affirmation,does this come with power cord and dishwasher hook up ? 
affirmation,will this one work to replace the badger 1 1/3 hp ? 
affirmation,is there a connection for the dish washer ? 
affirmation,can these be used for gas stove burner ? 
affirmation,is this for electric stoves ? 
affirmation,can you bake corn bread on this without it burnding. ? 
affirmation,can this be used on gas stove when making polenta which needs low heat. ? 
affirmation,do these work on induction cooktops ? 
affirmation,will this keep pour-over coffee carafe contents warmed atop a gas range flame ? 
affirmation,can this be used on gas stove when making polenta which needs low heat. ? 
affirmation,do these work on induction cooktops ? 
affirmation,can more than one water source be tested ? 
affirmation,does it have a colour indicator ? 
affirmation,is there an expiration date on any of the tests ? 
affirmation,does it test coliform/ e. coli ?? 
affirmation,does this test forlead ? 
affirmation,could i pay 1 shipping price if you bundle it ? 
affirmation,is this model for the #1855 holmes humidifier ? 
affirmation,does it work with kenmore humidifier? 
affirmation,do i need to tear off the black outside before i put the new filter into the machine ? 
affirmation,does this filter fit the holmes hm5100 ? 
affirmation,can this filter remove all mold spores ? 
affirmation,is this the same bulb as the euv-13b ? 
affirmation,does it fit vicks v3900 humidifier ? 
affirmation,will these range replacement knobs fit a tappan electric stove ? 
affirmation,do you have replacement knobs for hotpoint stove ? 
affirmation,will this fit thermador (oem: bosch) older cooktop? 
affirmation,does it have screens in place where the vents are to prevent lint from blowing out of the vent holes ? 
affirmation,can it be used for a gas drier ? 
affirmation,will the ltf lint dryer kit work on a gas dryer ? 
affirmation,does it have a backlight ? 
affirmation,is it possible to calibrate ? 
affirmation,"it's written that the dimensions are 7x7x4inches, is it right? "
affirmation,is it accurate ? 
affirmation,is there a lag time after you take it out of the box before it starts to work ? 
affirmation,could this be used outside in a enclosed patio and work accurately throughout the seasons ? 
affirmation,does this monitor read humidity levels below 16% ? 
affirmation,can it be wall mounted ? 
affirmation,has anyone used this on a brick driveway ? 
affirmation,does this pick up dust without blowing it out the bag ? 
affirmation,will this work on my astro turf sun deck for picking up bugs and leaves ? 
affirmation,will this work on astro turf to pick up small bugs and leaves ? 
affirmation,would this pick up pine needles on a lawn ? 
affirmation,does this fit the model 89q ? 
affirmation,does this filter work on all style 8 ? 
affirmation,does this fit ed11 600 device ? 
affirmation,are there six filters for the price shown ? 
affirmation,does it fit pf sw2mdca ss ? 
affirmation,will it work with gfe29hmdaes? 
affirmation,is this possible ? 
affirmation,can this filter be used under a sink ? 
affirmation,is this antimicrobial ? 
affirmation,are these lead free ? 
affirmation,"is this considered a ""fill hose"" ? "
affirmation,can it be settled on a bathtub ? 
affirmation,can i install on wall ? 
affirmation,is this easier to pull out than the plastic stopper ? 
affirmation,does this freezer automatically defrost ? 
affirmation,does this come with the case ? 
affirmation,does this have a cello tuner setting ? 
affirmation,is this appliance quiet enough to keep in the house as a spare? 
affirmation,does this protect from chemicals ? 
affirmation,can show temperature in celsius degrees ? 
affirmation,do they come in different sizes ? 
affirmation,can this model 1 cubic handle a king size sheet set ? 
affirmation,can it be installed with a copper sink ? 
affirmation,does it accommodate a dishwasher ? 
affirmation,can these be recycled some way ? 
affirmation,which water filter cap replacement (white color) should i use for this filter ? 
affirmation,does this model have the damper included for the seven inch duct ? 
affirmation,can an extended warranty be purchased for this product ? 
affirmation,is the freezer frost free ? 
affirmation,could someone give me the dimensions ? 
affirmation,are these drip pans dishwasher safe ? 
affirmation,do these cooktops require 220 outlet ? 
affirmation,will this work to connect a wgd9200sq0 to a wfw9150ww00 washer ? 
affirmation,does it work for whirlpool duet ht - washer/dryer from 2005 ? 
affirmation,does the old stack kit fit on the new washer and old dryer ? 
affirmation,is this downdraft ventilation ? 
affirmation,does the stainless steel trim get scratched by the cookware ? 
affirmation,would this work with the whirlpool duet sports front load washer and dryers ? 
affirmation,is it made in usa ? 
affirmation,is the cooking grate removable ? 
affirmation,can the cooking grate be removed from the ring ? 
affirmation,are the last two numbers the gal ? 
affirmation,can you verify the dimensions for me ? 
affirmation,can this tank be used for black water ? 
affirmation,can you use on a airplane ? 
affirmation,will it fit a 10 ft. ceiling? 
affirmation,are the lights dimmable? 
affirmation,do you ship item to pr? 
affirmation,can i just throw them in trash ? 
affirmation,are they made in the usa ? 
affirmation,do you sell an extension kit available for 10' ceilings ? 
affirmation,is it loud ? 
affirmation,can it be cut to fit ? 
affirmation,can it be removed ? 
affirmation,does this hose have one ? 
affirmation,can i get it in india ? 
affirmation,would this work on a 2008 ford edge with a naked roof ? 
