Category,Question
what,what 's the largest letter in salvador dali 's signature ?
what,what does an irate car owner call iron oxide ?
what,"of children between the ages of two and eleven , what percentage watch `` the simpsons '' ?"
what,what 's the northernmost u.s. state apart from alaska ?
unknown,name an art gallery in new york .
who,who sells viagra ?
what,what musical instrument did prewitt play in james jones 's from here to eternity ?
what,what is the home rule act ?
what,what building are british monarchs crowned in ?
what,what are bellworts ?
who,who was darius ?
what,what movie told of anna anderson 's claim to be a russian czar 's daughter ?
who,who did dita beard work for ?
what,what kind of creature is a coot ?
unknown,name the university of which woodrow wilson was president .
what,"what country was first to use the airplane as a weapon of war , against the turks in libya ?"
what,what university was woodrow wilson president of ?
what,what is a fear of disease ?
what,what kind of meat is fray bentos synonymous with ?
what,what did mr. magoo flog on tv for general electric ?
what,what are the words to the canadian national anthem ?
what,what is the name of the jewish alphabet ?
who,who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ?
what,what is columbia tristar 's phone number ?
who,name the five positions who are in the line of succession to the presidency .
unknown,which one of the original seven mercury program astronauts did not fly on any of the mercury flights ?
who,who is the best known villain of the 165 gunpowder plot ?
what,what is the capital of burkina faso ?
what,what continent is bolivia on ?
unknown,why was muhammad ali stripped of his title and barred from boxing in 1967 ?
who,"who killed more people , hitler or stalin ?"
what,what caused shea & gould to close their l.a. office ?
what,what 's the only mammal that can 't jump ?
what,what u.s. state has the most blondes ?
what,what war saw battles at parrot 's beak and black virgin ?
what,what was the u.s. highway death toll in 1969 ?
what,what does the name kelly mean ?
what,what is a phalanx ?
what,what mustachioed comedian portrayed frankie in north to alaska ?
what,what does each of the utilities cost in monopoly ?
what,"what actor and world war ii airman had a $5 , 0 bounty put on his head by hermann goering ?"
what,what does e.g. stand for ?
what,what is the name of the medical condition in which a baby is born without a brain ?
unknown,how do storms form ?
who,who is nicolo paganini ?
what,what city is often called the insurance capital of the world ?
what,what are the three animals in sheila burnford 's the incredible journey ?
who,who portrayed dracula in hammer studios ' films ?
unknown,name one of the seven wonders of the ancient world .
when,when were fish first believed to be found on earth ?
what,"what president 's favorite biblical quotation was : `` come now , and let us reason together '' ."
unknown,how many elevators do you ride to reach the top floor of the empire state building ?
unknown,name the food company that traveled to soviet georgia to film a series of ads .
what,what country was sir edmund hillary born in ?
what,what 's an infant seal called ?
what,"what was the proper laugh-in respones to : `` say goodnight , dick '' ?"
what,what city was john f. kennedy nominated for president in ?
unknown,how long does a dog sleep ?
what,what 1963 joseph l. mankiewicz film cost $28 million ?
what,what japanese electronics company was named for a coastal city northeast of tokyo ?
what,what can you be fined for having a dog on a beach ?
unknown,where did the battle of the bulge take place ?
unknown,how much will the california be in the year 2000 ?
what,"what mystery writer penned `` ...the glory that was greece , and the grandeur that was rome '' ?"
what,what state full of milk and honey was the destination in the grapes of wrath ?
what,what is the tallest building in japan ?
unknown,where is sinn fein 's headquarters ?
unknown,name li 'l abner 's favorite indian drink .
what,what are some important events of the 1830 's ?
what,the iraqis launched their attack on kuwait on what day ?
what,what letter adorns the flag of rwanda ?
what,"what did 8 , cd nns vbp to vb nnp pos nn ."
what,what is god ?
what,what country 's northernmost city is darwin ?
what,"what sound does olympia , washington , overlook ?"
what,what tv show chronicled the lives of katy holstrum and congressman glen morley ?
what,what kentucky city calls itself the horse center of america ?
unknown,how many penny-farthings are there on a trivial pursuit game board ?
what,what 's the most abundant element in the sun ?
what,"what european country boasts the city of furth , found where the rivers rednitz and pegnitz converge ?"
what,what u.s. state is dixville notch in ?
unknown,"where was the cisalpine republic , 1797-185 , ?"
what,what is the largest shopping mall in the world ?
what,what is the protagonist 's name in dostoevski 's `` the idiot '' ?
what,what penalty space lies between baltic avenue and reading railroad on a monopoly board ?
what,what presidential press secretary dismissed watergate as a third-rate burglary attempt ?
what,what is a meerkat ?
who,who was jean nicolet ?
what,what kind of animal was winnie the pooh ?
unknown,which of these are authors ?
what,what 's the international radio code word for the letter b ?
who,who was the original humpty dumpty ?
what,what is cache memory ?
what,aspartame is also known as what ?
unknown,where is the location of the orange bowl ?
when,when is president nixon 's birthday ?
what,"what is the origin of the midwest slang , ` you 're darn tootin ' ?"
unknown,whose cupboard was bare ?
what,what are the seven seas ?
what,what does ibm stand for ?
what,what is the difference between jazz and blues ?
what,what is the c programming language ?
what,what 's the name of popeye 's adopted son ?
who,who invented the vacuum cleaner ?
what,what is a ` borrow pit ' ?
what,what 2th-century fictional character attends pencey prep school ?
unknown,how many people in the usa say their number one source of information is the newspaper ?
who,"who does shakespeare 's antonio borrow 3 , 0 ducats from ?"
unknown,which country is known as `` big bear '' ?
what,"what `` melts in your mouth , not in your hands '' ."
unknown,how many times a day should you take a prescription marked `` q.i.d . '' ?
what,what is the origin of the atom ?
who,who is the voyager project manager ?
unknown,which radio stations air the jim bohannon radio talk show ?
what,what two commanders directed the forces in the battle of el alamein ?
unknown,name the creator of `` the muppets '' .
unknown,how do i e-mail someone at aol.com from yahoo.com ?
who,who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ?
what,what is the meaning of the name ella ?
what,what 's the home of the rockettes ?
unknown,"where can i find all the information i need to know about the english civil war , 1642-1649 , ?"
what,what is the name of the firm that makes spumante ?
what,what sport is played on the largest field ?
who,who won the 1967 academy award for best actor ?
what,what is after death ?
affirmation,name the first private citizen to fly in space .
what,what was football star elroy hirsch 's nickname ?
what,what singer sings `` oh boy '' ?
unknown,how much pizza do americans eat in a day ?
what,what is the website for the usa journal ?
what,what army 's motto is blood and fire ?
what,what kind of patent did ermal fraze get in 1963 ?
what,what are you hearing when you put a seashell to your ear ?
unknown,why are haunted houses popular ?
unknown,which gender has bigger thighs ?
what,what u.s. state has the second-longest coastline ?
what,what state 's home to the buffalo bill historical center ?
unknown,how fast do cheetahs run ?
what,what is ray bradbury 's illustrated man illustrated with ?
unknown,how fast is a 45mhz processor ?
what,"what kind of puzzle first appeared in the u.s. in the new york world on december 21 , 1913 ?"
what,what count did alexandre dumas write about ?
what,what are the odds of giving birth to twins ?
what,what is the largest natural lake in pennsylvania ?
unknown,how far is london uk from california ?
unknown,name the two mystical ravens odin has at his command .
what,what was the species of winnie the pooh ?
what,what is the virus hiv ?
unknown,how many years old is benny carter ?
what,what hermann hesse book gave its name to a rock group ?
unknown,where does the santa fe trail begin and end ?
what,what book is the follow-up to future shock ?
what,what african animals are known as the big five ?
what,what is the alphabet for latin ?
what,what is the fear of frogs ?
unknown,which city in canada is the least-populated ?
unknown,how old is stevie wonder ?
who,who was the first taiwanese president ?
who,who is luke skywalker 's father ?
what,what does a dipsomaniac crave ?
what,what is the definition of the term `` weapons system '' ?
what,what are christopher marlowe 's and shakespeare 's literary contributions to english literature ?
what,what is nero wolfe 's favorite drink during office hours ?
what,what is the first personal computer company ?
what,what is the most efficient way to start a barbeque ?
who,who was jane goodall ?
unknown,why are there braille things on the atm machines that people drive through ?
unknown,where is the isle of man ?
what,what book did aaron hass write ?
what,what was the death toll at the eruption of mount pinatubo ?
when,when will the millennium officially begin ?
who,"who created the comic strip , `` garfield '' ?"
unknown,which vietnamese terrorist is now a un delegate in doonesbury ?
what,what is real time processing ?
what,what do we call the imaginary line along the top of the rocky mountains ?
what,what country 's capital is lagos ?
unknown,where does ray bradbury 's chronicles take place ?
who,who is the current prime minister and president of russia ?
who,who established a viking colony in greenland about 985 ?
what,what was the distinguishing mark on the `` little rascals '' dog ?
what,"what is the latitude and longitude of el paso , texas ?"
unknown,where can i get information about cystic fibrosis ?
unknown,where did honecker rule ?
what,what is the theory of equivalence states ?
what,what does a philatelist collect ?
what,what is the life span of the average monkey ?
unknown,how many member states are in the un ?
who,who shot and killed himself while painting wheatfield with crows ?
what,what will happen when sodium is put in water ?
what,what 's the meaning of uol ?
what,what future president became senate majority whip under harry truman ?
who,who was the architect of central park ?
unknown,which operating system runs on ibm-compatible machines ?
what,what are the dimensions of an ice hockey goal ?
when,when was cnn 's first broadcast ?
what,what are the signs of a country going into a recession ?
what,what is the circumorbital hematoma ?
what,what african country is governed from ouagadougou ?
what,what was the christian name of the title character in our miss brooks ?
what,what hard-of hearing artist painted sunflowers ?
who,who were the yankee 's frequent enemies ?
who,who wrote sons and lovers ?
what,what is the english translation for the word `` caliente '' ?
what,what handicraft requires you to interlace your warp and weft ?
what,what french seaport claims to be the home of wines ?
unknown,how long does it take sunlight to reach earth ?
unknown,how many milliseconds in a second ?
what,what cherokee indian gave his name to a tree ?
when,when were camcorders introduced in malaysia ?
what,what is the chance of conceiving quadruplets ?
who,who was the star of leave it to beaver ?
what,what countries have the largest armed forces in the world ?
what,what was william f. cody 's better-known name ?
unknown,how do i increase my biceps ' size ?
who,who did richard nixon tender his resignation to ?
who,who was thucydides ?
unknown,how is the element strontium purified ?
unknown,which of the following rock 'n roll stars has a `` star '' on hollywood boulevard ?
what,what are tonsils for ?
what,"what molecules include fluorine , sodium and magnesium ?"
what,what was the name of the ball game played by the mayans ?
what,what was the sequel to the moon 's balloon ?
what,what is the exchange rate for australian to american money ?
what,what is the origin of the word ` posh ' ?
unknown,how can anyone tell if a female had sexual intercourse ?
unknown,how many states did richard nixon carry in 1972 ?
what,what basketball maneuver did bert loomis invent ?
what,what is a good book to read for people who hate to read ?
unknown,how many shillings more than 2 were there in a guinea ?
what,what does a tarantula eat ?
what,what are the three secondary colors ?
what,what does the name `` sabrina '' mean ?
who,who took over as conductor of the boston pops after arthur fiedler 's long reign ?
what,what were the trials called which followed world war ii ?
what,what is hebephrenia ?
what,what nazi leader killed himself in jail just before he was to be executed as a war criminal ?
what,what famous events have happened on march 27 ?
unknown,which company claimed to be `` the world 's biggest toy store '' ?
what,what brand number graces the black label of a bottle of jack daniel 's ?
what,what do i call the sons and daughters of my first cousins ?
what,what were the causes of the civil war ?
what,what are maid-rites ?
what,what city is terrorized by dracula in the night stalker ?
unknown,how can you prevent it ?
what,what do the names andrew and christina mean ?
what,what chocolate bar created by frank mars and his wife is often called a milky way with peanuts ?
who,who is the fastest guitarist ?
what,what do camels store in their humps ?
what,what is the name of the second space shuttle ?
what,what is the best hospital for orthopedics in the country ?
what,what are perfect tenses ?
what,what is commonly considered the fifth sense ?
what,what was another name for east germany ?
what,what 's the second-biggest-selling magazine in america ?
who,who betrayed norway to the nazis ?
who,who took the toys donated for the doodyville orphans ' fund and kept them for himself ?
what,what is a bourdon tube ?
what,what kind of a sports team is the wisconsin badgers ?
who,who were the picts ?
what,"what do caroll baker , tammy grimes , debbie reynolds , and judy garland all have in common ?"
what,what is film noir ?
who,who is stationed at camp swampy in the comic strips ?
what,in what year did china and the republic of korea establish diplomatic relations ?
what,what causes tuberculosis ?
unknown,how tall is the giraffe ?
what,what actor dressed up as santa claus and had a once-a-year affair with actress shelley winters every christmas for many years ?
what,what animal was the heat-seeking missile called the sidewinder named for ?
unknown,how long did it take stanley to find livingstone ?
unknown,how much of the nation 's children between the ages of two and eleven watch ` the simpsons ' ?
what,what lake is sheboygan on ?
what,what are a baseball team 's firemen ?
what,what is a fear of color ?
what,what nantucket shipwreck killed more divers exploring it than the 52 people it sank with ?
what,what are the two largest birds on earth ?
affirmation,name the four stories contained in edith wharton 's `` old new york . ''
what,what is the largest lake in north america ?
unknown,how many people died because of a smoking problem in 1997 ?
what,what is chronic constipation a symptom of ?
who,who wrote the look of love after viewing ursula andress ?
what,what is the name of the american swimmer who won seven gold medals in the 1972 olympics ?
who,who claims to have the greatest show on earth ?
what,what is head start ?
what,what honeymooners actress did television magazine name as 1953 's most promising star ?
unknown,why can 't women serve in the navy on board submarines ?
what,what did the yalta conference lead to ?
what,what dog was dubbed the mortgage lifter ?
what,what is saltpeter ?
what,what 's the difference between j.d. and ll.m. ?
what,what kind of organization is ` last chance for animals ' ?
what,what was the role of the medieval guild ?
affirmation,silly putty was invented by whom ?
what,what should the oven be set at for baking peachy oat muffins ?
unknown,how can someone become a federal agent ?
who,who invented the paper clip ?
who,whom did lauren bacall marry after her husband humphrey bogart died ?
unknown,how many times in his 16-year national basketball associaton career was john havlicek a member of the all-star team ?
what,what city or state do the most gay men live in ?
unknown,shea and gould had an office in los angeles for how long before closing it ?
what,"what word occurs 46 , 227 times in the bible ?"
unknown,how can you be happy ?
unknown,how would someone go about becoming an organ donor ?
what,"what year did degas create the bronze sculpture , `` fourth position front ? ''"
what,what composer was awarded the medal of honor by franklin d. roosevelt ?
what,how many url extensions are there ? and what are they ?
unknown,how long after intercourse does it take to find out if you are pregnant ?
what,what does u.s.s.r. stand for ?
who,"who created the fantastic four , hulk , and thor ?"
what,what is a fear of gravity ?
who,who is the composer of `` canon in d major '' ?
what,what did n't rocky marciano do in his pro boxing career ?
unknown,where are all european and american eels born ?
who,who was the author of the novel `` far from the madding crowd '' ?
what,what is the definition of ` graphic details ' ?
what,what was `` america 's recessed-filter cigarette '' ?
what,what kind of dog is scooby doo ?
what,what is the function of the appendix ?
what,what department store heir is responsible for raising a three-ton safe from the underwater wreckage of the andrea doria ?
unknown,which sex is twice as likely to contract leprosy ?
what,what was the first town to be chartered in vermont ?
what,what state has the longest great lakes shoreline ?
what,what u.s. state ends with a g ?
unknown,how many varieties of twins are there ?
what,what is a cartesian diver ?
what,what are the largest libraries in the us ?
unknown,how many people live in the falklands ?
who,who was camp david named for ?
what,what document did president andrew johnson want a copy of placed under his head upon his burial ?
who,who portrayed `` the man without a face '' in the movie of the same name ?
what,what happened in dogtown in 1899 to make that year remembered ?
what,what wheel did blaise pascal invent in a search for perpetual motion ?
unknown,how much money was the minimum wage in 1991 ?
what,in what year was the first patent for the pull-tab opener on cans obtained ?
what,what country boasts the most dams ?
what,what is the regular price ?
what,what metropolis landmark was first introduced in the superman cartoons of the 1940 's ?
unknown,where can one find mozambique ?
unknown,how do you recognize anorexia ?
what,what mary tyler moore show regular came into the world as tadeus wladyslaw konopka ?
what,in what city is the us declaration of independence located ?
what,what is the largest variety of cactus ?
who,who won the first world series ?
what,what did aaron hass write ?
who,who is samuel pickering ?
what,what was the business of the animated sky hawks ?
who,who was credited with saying : `` i never met a man i did n't like '' ?
what,"what overalls are named for dungri , a suburb of bombay ?"
unknown,why do rooftops give off steam after a big rainstorm ?
what,what nationality was jackson pollock ?
unknown,how much of the earth 's surface is permanently frozen ?
what,what is the connection between new krypton and daxam ?
when,when was queen victoria born ?
unknown,how many people were executed for abraham lincoln 's assassination ?
what,what must a las vegas blackjack dealer do when he reaches 16 ?
what,what is worth seeing in reims ?
what,what type of performer is ileana cotrubas ?
when,when was yemen reunified ?
what,what line of candy products included super skrunch and peanut butter oompas ?
unknown,why did the anglican church split from the vatican ?
what,what organization has a security council ?
unknown,how would i find the price of different organs that have been donated ?
what,what mexican leader was shot dead in 1923 ?
what,what does necrosis mean ?
what,what is magnetar ?
what,"what feud ended with a marriage in kentucky on march 21 , 1891 ?"
what,what color is the stripe along each side of a coho salmon ?
what,what is the federal minimum wage ?
what,mississippi is nicknamed what ?
what,what are the unemployment statistics for the years 1965 and 1990 ?
unknown,where is santa lucia ?
what,what female painter produced primitives of rural new england life ?
what,what are names of two old men who appear in the serial tv muppets show ?
what,what war saw battles at parrot 's beak and black virgin ?
what,what should you yell to hail a taxi in madrid ?
what,what is the horsepower of the shuttle boosters ?
what,what year did apartheid start ?
who,who created big ben ?
what,what city is found in the city of oz ?
what,what ever happened to the once popular yale lock company ?
unknown,name the marvel team loosely based on dc 's justice league of america ?
what,what did a 16th-century aztec athlete get for putting a rubber ball through a ring ?
what,"what populous state covers 49 , 576 square miles ?"
what,what college football team did knute rockne build into a power ?
what,in what state was there an 11 million gallon oil spill ?
when,"when did aldous huxley write , `` brave new world '' ?"
what,what country did the ancient romans refer to as hibernia ?
what,in what high-risk business venture did jimmy the greek bet and lose ?
what,what do chefs call the master spice ?
what,what is the abbreviation of general motors ?
what,what is a devo hat ?
unknown,how long was the longest hiccup attack ?
what,what kind of weapons were used in medieval warfare ?
unknown,how many people live in tokyo ?
what,what fruit-topped actress was known as the brazilian bombshell ?
what,what are birds descendents of ?
what,"when the tutankhamun exhibit was on display in the u.s. , what moving company transported it ?"
unknown,which kevin costner movie involves the sioux indians ?
who,who played the title role in my favorite martian ?
unknown,how does a scientific calculator work ?
what,what is a fear of fur ?
who,who invented the game scrabble ?
what,what part of their attire were `` pothooks '' to cowboys of the old west ?
when,when did humans first begin to write history seriously ?
unknown,why do we have to go to school ?
what,what is toulmin logic ?
what,a corgi is a kind of what ?
what,what city in the u.s. experienced the most growth recently ?
what,what is a dangling participle ?
what,what tokyo street glitters with famed department stores and nightclubs ?
what,what was the average life expectancy during the stone age ?
when,"when mighty mouse was conceived , what was his original name ?"
what,what is the origin of the peace symbol ?
what,what group starred in the movie rock around the clock ?
unknown,how many u.s. presidents were assassinated during queen victoria 's reign ?
when,when was the first flush toilet invented ?
what,what is nathan hamill 's role in the new star wars prequel ?
unknown,how many disks does each player have in a four-handed game of crokinole ?
unknown,how old is the sun ?
what,what percentage of children between the ages of two and eleven watch ` the simpsons ' ?
unknown,"how can i find a list of , fax and or email , addresses for human resource departments in massachusetts ?"
unknown,how do i write to my congressman ?
unknown,how many years ago did led zeppelin release its last album ?
what,what is the term for a group of geese ?
unknown,how many people was randy craft convicted of killing ?
what,what was the name of the famous battle between texas and mexico ?
what,what country are you in if you woo in the wu dialect ?
what,what do you call a poker hand with five cards of the same suit ?
what,what new york yankee was known as the iron horse ?
who,who is considered the first lady of the american stage ?
who,who penned : `` neither a borrower nor a lender be '' ?
what,what is moxie ?
what,what was the first sam spade novel ?
what,what song did patti page set people dancing to in 1950 ?
who,who headed hitler 's infamous gestapo ?
what,what south american city features the exclusive copacabana beach and ipanema ?
what,what german city do italians call the monaco of bavaria ?
what,"what island group contains jersey , guernsey , sark and herm ?"
what,what is a fear of strong light ?
what,what is a person called that likes fire ?
unknown,"where was helium first discovered , hence its name ?"
what,what is the best way to overcome a fear ?
unknown,name a south african diamond producer ?
who,who made the musical plea be true to your school ?
what,what french designer declared : `` the jean is the destructor ! it is a dictator ! it is destroying creativity. the jean must be stopped ! '' ?
what,what season is the setting for shakespeare 's midsummer night 's dream ?
unknown,name a band which was famous in the 1960 's .
what,what comedian was banned from the ed sullivan show for allegedly making an obscene gesture at the show 's host ?
what,what country is the setting for edgar allan poe 's the pit and the pendulum ?
what,what apollo 11 astronaut minded the store while armstrong and aldrin made history ?
what,what is the current ticket fare from from cairo to barbados ?
what,what is the second highest mountain peak in the world ?
what,what good little witch is casper 's girlfriend ?
unknown,in which tennessee williams play is one of the characters killed and devoured by a mob of starving children ?
what,"what was the nickname of frederick i , holy roman emperor and king of germany ?"
what,what war did the potsdam conference follow ?
what,what 's the most common non-contagious disease in the world ?
what,"what month , date , and year did charles i die ?"
unknown,how many cubic feet of space does a gallon of water occupy ?
what,what is the hair style called that new military recruits receive ?
what,what 's the world 's largest cathedral ?
what,what effects do nitrates have on the environment ?
what,what is nitrox diving ?
what,what three european countries begin with the letter a ?
what,what happened in the long march ?
what,what was the name of hitler 's unsuccessful attempt to overthrow the bavarian government in munich in 1923 ?
unknown,how can i find online spelling ?
unknown,how many earthworms are in a single pasture ?
who,who made stonehenge ?
what,what is the average hourly rate of american workers ?
what,what sport features snatches and clean jerks ?
who,who 's the founder and editor of the national review ?
what,in what year did they build the berlin wall ?
who,who was the first governor of west virginia ?
what,what 's the world 's longest suspension bridge ?
what,what asian city boasts the world 's biggest bowling alley ?
when,when will jean aeul publish her next book ?
what,"what famous soldier was born in europe , died in asia , and was laid to rest in africa ?"
when,"when it 's time to relax , what one beer stands clear ?"
what,what culture developed the idea of potlatch ?
what,what baseball team became the minnesota twins ?
what,what kind of guitar did jimi hendrix play ?
what,what were the first three cities to have a population of more than a million ?
what,what constellation contains the twins castor and pollux ?
unknown,how many meters are in a mile ?
what,what is a gas release event ?
what,what james michener book is subtitled spanish travels and reflections ?
what,what famed london criminal court was once a feudal castle ?
unknown,how many milligrams are in a gram ?
what,what stringed weapon fires a bolt ?
unknown,where did he get the title ?
unknown,where can i find a large list of 5 to 6 letter words ?
what,what is michael jackson 's middle name ?
who,who was the first woman to fly solo across the atlantic ?
unknown,how long is human gestation ?
what,what does `` semper fidelis '' mean ?
what,what kind of suit did true hepcats wear in 1942 ?
unknown,where does mother angelica live ?
unknown,how can i find out my moon sign ?
unknown,why does a candle need a wick ?
what,musician ray charles plays what instrument ?
what,what were the three prophecies the witches make to macbeth ?
what,what 's the population of mississippi ?
who,who started the dominos pizza chain ?
what,in what film did steven spielberg 's dog star as the main character 's dog ?
what,what are all the different kinds of contraceptives ?
unknown,how old is jeremy piven ?
what,what is the history of yo-yos ?
unknown,which nba players had jersey number 0 ?
what,what chocolate company gives you a one-pound kiss ?
unknown,how does one correctly pronounce ` qigong ' ?
what,what fossilizes to form coprolite ?
unknown,how many colored squares are there on a rubik 's cube ?
unknown,where is the mayo clinic ?
what,what caribbean island is sometimes called little england ?
unknown,where is amsterdam ?
unknown,where can i find the lyrics for the song ` getting married today ' from the musical ` company ' ?
what,what 's another word that means `` knows all '' ?
who,"who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ?"
what,what australian city became the home of the america 's cup ?
what,aspartame is known by what other name ?
what,what is pasta ?
unknown,name randy craft 's lawyer .
what,what color is `` ash '' ?
what,what is the best distance education university or college ?
what,what river does the grand coulee dam dam ?
unknown,how often are quadruplets born ?
unknown,how does psorisis disappear ?
unknown,how many presidents have died on the 4th of july ?
what,what three colors are on the french flag ?
what,what 's the mystery of the bermuda triangle ?
what,what are the seven wonders of the world ?
what,what does cnn stand for ?
what,what is a person called that likes fire ?
who,who portrayed vincent van gogh in lust for life ?
what,what constitutes an adult ?
what,what is a reliable site that i can download heretic 2 ?
what,what is a neurosurgeon ?
what,"what baseball outcome required nine balls in 1879 , eight balls in 1880 and seven balls in 1881 ?"
what,what are amaretto biscuits ?
what,what common ailment can 't you catch at the north pole ?
what,what season begins with the vernal equinox ?
who,who was known as the time master in comic books ?
what,what was the name of roy rogers 's dog ?
what,what tv series changed the names to protect the innocent ?
unknown,where did cable cars first roll down clay street in 1873 ?
what,what is george lucas 's e-mail address ?
unknown,how do i give a good massage ?
who,who is the father of the computer ?
what,what is the origin of `` jiggy '' as in getting jiggy with it ?
what,what is the origin of a.m. and p.m. ?
what,what is the definition of cosmology ?
what,what is the name of the dog on the cracker jack box ?
what,what are manifest and latent function theories ?
what,what william styron book is about a black preacher who leads a slave revolt ?
what,what is the chemical symbol for nitrogen ?
who,who said : `` old soldiers never die ; they just fade away '' ?
what,what national league baseball team employed 72 third baseemen in its first 2 seasons ?
what,what are snowballs to a hot-rodder ?
unknown,how long were tyrannosaurus rex 's teeth ?
what,what is the origin of the word ozymandias ?
who,who 's the only man to have won the olympic decathlon twice ?
what,what kenyan city is the safari center for east africa ?
unknown,why do men snore ?
what,what causes `` rolling thunder '' ?
what,what is the name of miss india 1994 ?
what,what four u.s. states have active volcanoes ?
what,what 's the setting of john le carre 's a small town in germany ?
what,what does an echidna look like ?
what,what is the secret of the universe ?
who,who was the second man to walk on the moon ?
what,what major victorian novelist spent as much time working for the post office as he did writing ?
what,what caused an adjournment of the 25th anniversary session of the united nations general assembly ?
what,the major league baseball team in pittsburgh is called what ?
what,what is the name of the islamic counterpart to the red cross ?
unknown,what year were the olympic games played in where nadia comaneci became popular ?
what,what is glass made of ?
unknown,how did lee harvey oswald purchase his rifle ?
unknown,how do i sing like elvis presley ?
what,what are the biggest indian airports ?
what,what is the folklore story regarding birds ' nests and birds in christmas trees ?
what,"what are the world 's three largest oceans , in order of size ?"
who,who is the pope ?
unknown,where on the internet can i find information on laundry detergent ?
what,what do the french call la manche ?
what,what 's an easy way to count the approximate number of fish in a lake ?
unknown,how do you clean up a cache ?
what,what was the name of aristotle onassis 's yacht ?
what,what is a fear of being dirty ?
what,what animal occurs in spielberg 's `` jaws '' ?
what,what 's the red planet ?
unknown,the shea & gould law firm had an office in l.a. for how many years ?
what,what 's the most common surname in america ?
unknown,how long does it take the typical american to eat 23 quarts of ice cream ?
what,what is the difference between a fruit and a vegetable ?
what,what kind of tree graces lebanon 's flag ?
what,what is tumbled marble ?
what,what are the various ways in which one can measure it user satisfaction level ?
what,what city is sometimes called the athens of switzerland ?
unknown,where did bocci originate ?
unknown,how does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .
what,what are the valdez principles ?
unknown,how can i easily remove red wine stains from t-shirts ?
unknown,how do you write mla style bibliographies for an internet source ?
who,who is imam hussain ben ali whom shia people believe in ?
what,what is the origin of the word assassinate ?
unknown,"where can i find information about bob barr , representative from georgia ?"
what,what is the frequency of vhf ?
what,what are the arabic numerals from 1 to 10 ?
what,what does the policeman become in the canadian edition of monopoly ?
unknown,how many electoral votes does it take to win presidency ?
what,what is digitalis ?
what,what kind of flowers does detective nero wolfe raise ?
what,what was paper made of in the late 16th century ?
who,who was william henry harrison ?
what,what was the outcome of the 1945 yalta conference ?
what,what is `` flintknapping '' ?
what,what 's the most popular contact lens color ?
what,what were the cities of dickens 's a tale of two cities ?
what,what causes canker sores in the mouth ?
what,in what year was the movie the ten commandments released ?
what,what is the fastest fish in the world ?
what,what color are the castellated walls of the kremlin ?
what,what is celebrated during the week of february 21-27 ?
what,what is damage to business and government caused by bureaucracy ?
what,what countries have the best math students ?
when,when was the de beers company founded ?
what,what was a california prayer book to an old west gambler ?
who,who was the first black performer to have his own network tv show ?
what,what 's another name for aspartame ?
what,what did john f. kennedy consider his greatest blunder in office ?
what,what 's the abbreviation for trinitrotoluene ?
what,"what creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?"
what,what is the date of bastille day ?
what,what is ioc an abbreviation of ?
what,what 's the proud claim to fame of the young women who formed kappa alpha theta ?
unknown,which two products use a tiger as their symbol ?
unknown,"where did freidreich wilhelm ludwig leichhardt , prussian born explorer , go to school ?"
what,what color eyes are most sensitive to light ?
unknown,how much folic acid should an expectant mother get daily ?
what,what company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?
what,what disease does katharine hepburn have that makes her voice shake ?
what,"what did fcc chairman newton minow declare tv to be on may 9 , 1961 ?"
unknown,how much caffeine is in a 16 oz cup of coffee ?
what,what is the name of the art of growing miniature trees ?
what,what two countries in south america are landlocked ?
what,what does tiffany mean ?
unknown,why do magnets attract ?
unknown,how do you address a chinese person ?
what,what is the meaning of thalassemia ?
what,what is columbia tristar 's phone number ?
unknown,how do i impress a guy ?
what,what does the method called `` cold fusion '' create ?
when,when did princess diana and prince charles get married ?
what,what determines the value of the pearl ?
unknown,which country did hitler rule ?
what,"what was the name of the american ship sunk by a mine in havana harbor , causing the spanish-american war ?"
who,who directed the wild bunch ?
what,what are emblazoned on the jolly roger ?
what,the orange bowl is in what city ?
what,what are the alveoli ?
what,what comedian was born allen stewart konigsberg ?
unknown,how many leos have been pope ?
what,what state was herbert hoover born in ?
what,"what tv series featured neal , a martini-drinking st. bernard ?"
what,what developed a crack in 1835 while tolling the death of u.s. chief justice john marshall ?
unknown,how many fiddlers did old king cole have ?
what,"what poet wrote : `` ... i have promises to keep , and miles to go before i sleep '' ?"
what,what is ethylene ?
what,what irwin allen bomb has richard widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?
what,what is a fear of clouds ?
what,what is the music used in the new vw beetle commercial where the car spins and changes colors ?
what,what is a fear of pregnancy ?
what,what is the population in india ?
what,what is the origin of the word `` pallbearer ? ''
unknown,how long do flies live ?
unknown,why is microsoft 's windows 3 software so successful ?
who,who runs andy capp 's favorite pub ?
what,what state produces the best lobster to eat ?
unknown,how many times a day does the typical person go to the bathroom ?
what,what bowl game began as an east-west contest between michigan and stanford in 192 ?
what,"what islands got their name from the spanish baja mar , meaning shallow water ?"
what,"what is deadrise , nautical , ?"
what,what 's the official language of algeria ?
